Quarter,Sex,Sector,Employment
2023 Q4,Male,Professional & Scientific,103.2
2023 Q4,Female,Public Admin & Defence,75.6
2023 Q4,Male,Public Admin & Defence,67.0
2023 Q4,Female,Transport & Storage,20.0
2023 Q4,Male,Transport & Storage,89.6
2023 Q4,Female,Wholesale & Retail,166.7
2023 Q4,Male,Wholesale & Retail,177.2
2024 Q1,Female,Accommodation & Food,90.4
2024 Q1,Male,Accommodation & Food,84.1
2024 Q1,Female,Admin & Support,49.8
2024 Q1,Male,Admin & Support,61.3
2024 Q1,Female,Agriculture,14.0
2024 Q1,Male,Agriculture,94.5
2024 Q1,Female,Construction,11.8
2024 Q1,Male,Construction,159.9
2024 Q1,Female,Education,169.4
2024 Q1,Male,Education,61.6
2024 Q1,Female,Financial & Insurance,70.4
2024 Q1,Male,Financial & Insurance,66.0
2024 Q1,Female,Human Health & Social Work,277.2
2024 Q1,Male,Human Health & Social Work,78.2
2024 Q1,Female,Industry,103.8
2024 Q1,Male,Industry,219.6
2024 Q1,Female,Information & Communication,57.7
2024 Q1,Male,Information & Communication,117.7
2024 Q1,Female,Professional & Scientific,88.4
2024 Q1,Male,Professional & Scientific,108.2
2024 Q1,Female,Public Admin & Defence,82.7
2024 Q1,Male,Public Admin & Defence,61.7
2024 Q1,Female,Transport & Storage,18.5
2024 Q1,Male,Transport & Storage,92.6
2024 Q1,Female,Wholesale & Retail,161.1
2024 Q1,Male,Wholesale & Retail,167.9
2024 Q2,Female,Accommodation & Food,100.8
2024 Q2,Male,Accommodation & Food,83.4
2024 Q2,Female,Admin & Support,51.0
2024 Q2,Male,Admin & Support,61.2
2024 Q2,Female,Agriculture,14.0
2024 Q2,Male,Agriculture,90.7
2024 Q2,Female,Construction,13.7
2024 Q2,Male,Construction,147.1
2024 Q2,Female,Education,170.1
2024 Q2,Male,Education,63.1
2024 Q2,Female,Financial & Insurance,66.9
2024 Q2,Male,Financial & Insurance,68.1
2024 Q2,Female,Human Health & Social Work,294.5
2024 Q2,Male,Human Health & Social Work,82.1
2024 Q2,Female,Industry,115.8
2024 Q2,Male,Industry,226.0
2024 Q2,Female,Information & Communication,56.2
2024 Q2,Male,Information & Communication,131.0
2024 Q2,Female,Professional & Scientific,89.8
2024 Q2,Male,Professional & Scientific,111.0
2024 Q2,Female,Public Admin & Defence,82.1
2024 Q2,Male,Public Admin & Defence,70.1
2024 Q2,Female,Transport & Storage,22.9
2024 Q2,Male,Transport & Storage,97.2
2024 Q2,Female,Wholesale & Retail,155.3
2024 Q2,Male,Wholesale & Retail,159.3
2024 Q3,Female,Accommodation & Food,109.0
2024 Q3,Male,Accommodation & Food,90.9
2024 Q3,Female,Admin & Support,44.8
2024 Q3,Male,Admin & Support,58.6
