Quarter,Region,Sector,Employment
2022 Q3,South-East,Human Health & Social Work,28.2
2022 Q3,South-East,Industry,31.1
2022 Q3,South-East,Information & Communication,8.8
2022 Q3,South-East,Professional & Scientific,13.7
2022 Q3,South-East,Public Admin & Defence,11.5
2022 Q3,South-East,Transport & Storage,8.2
2022 Q3,South-East,Wholesale & Retail,25.8
2022 Q3,South-West,Accommodation & Food,26.0
2022 Q3,South-West,Admin & Support,12.3
2022 Q3,South-West,Agriculture,18.9
2022 Q3,South-West,Construction,24.6
2022 Q3,South-West,Education,32.0
2022 Q3,South-West,Financial & Insurance,10.7
2022 Q3,South-West,Human Health & Social Work,53.9
2022 Q3,South-West,Industry,61.2
2022 Q3,South-West,Information & Communication,20.9
2022 Q3,South-West,Professional & Scientific,21.9
2022 Q3,South-West,Public Admin & Defence,13.0
2022 Q3,South-West,Transport & Storage,11.1
2022 Q3,South-West,Wholesale & Retail,50.3
2022 Q3,West,Accommodation & Food,17.7
2022 Q3,West,Admin & Support,8.8
2022 Q3,West,Agriculture,11.9
2022 Q3,West,Construction,16.9
2022 Q3,West,Education,19.0
2022 Q3,West,Human Health & Social Work,37.0
2022 Q3,West,Industry,40.1
2022 Q3,West,Information & Communication,9.2
2022 Q3,West,Professional & Scientific,12.2
2022 Q3,West,Public Admin & Defence,13.3
2022 Q3,West,Transport & Storage,7.2
2022 Q3,West,Wholesale & Retail,31.0
2022 Q4,Border,Accommodation & Food,14.4
2022 Q4,Border,Admin & Support,7.4
2022 Q4,Border,Agriculture,16.5
2022 Q4,Border,Construction,13.6
2022 Q4,Border,Education,15.5
2022 Q4,Border,Financial & Insurance,6.8
2022 Q4,Border,Human Health & Social Work,30.1
2022 Q4,Border,Industry,27.3
2022 Q4,Border,Professional & Scientific,10.1
2022 Q4,Border,Public Admin & Defence,13.5
2022 Q4,Border,Transport & Storage,7.6
2022 Q4,Border,Wholesale & Retail,23.2
2022 Q4,Dublin,Accommodation & Food,44.5
2022 Q4,Dublin,Admin & Support,41.3
2022 Q4,Dublin,Construction,40.7
2022 Q4,Dublin,Education,59.4
2022 Q4,Dublin,Financial & Insurance,69.6
2022 Q4,Dublin,Human Health & Social Work,97.3
2022 Q4,Dublin,Industry,62.9
2022 Q4,Dublin,Information & Communication,84.6
2022 Q4,Dublin,Professional & Scientific,71.0
2022 Q4,Dublin,Public Admin & Defence,43.6
2022 Q4,Dublin,Transport & Storage,39.6
2022 Q4,Dublin,Wholesale & Retail,89.2
2022 Q4,Mid-East,Accommodation & Food,27.1
2022 Q4,Mid-East,Admin & Support,18.5
2022 Q4,Mid-East,Agriculture,12.0
2022 Q4,Mid-East,Construction,28.8
2022 Q4,Mid-East,Education,32.6
2022 Q4,Mid-East,Financial & Insurance,20.8
2022 Q4,Mid-East,Human Health & Social Work,46.5
2022 Q4,Mid-East,Industry,50.6
2022 Q4,Mid-East,Information & Communication,20.5
2022 Q4,Mid-East,Professional & Scientific,25.1
2022 Q4,Mid-East,Public Admin & Defence,21.9
2022 Q4,Mid-East,Transport & Storage,18.6
2022 Q4,Mid-East,Wholesale & Retail,49.1
2022 Q4,Mid-West,Accommodation & Food,16.1
2022 Q4,Mid-West,Admin & Support,10.8
2022 Q4,Mid-West,Agriculture,17.7
2022 Q4,Mid-West,Construction,13.5
2022 Q4,Mid-West,Education,20.6
2022 Q4,Mid-West,Financial & Insurance,7.4
2022 Q4,Mid-West,Human Health & Social Work,35.8
2022 Q4,Mid-West,Industry,38.9
2022 Q4,Mid-West,Information & Communication,10.1
2022 Q4,Mid-West,Professional & Scientific,13.5
2022 Q4,Mid-West,Public Admin & Defence,10.1
2022 Q4,Mid-West,Transport & Storage,9.8
2022 Q4,Mid-West,Wholesale & Retail,29.9
2022 Q4,Midland,Accommodation & Food,7.8
2022 Q4,Midland,Agriculture,6.8
2022 Q4,Midland,Construction,12.1
2022 Q4,Midland,Education,12.3
2022 Q4,Midland,Human Health & Social Work,19.2
2022 Q4,Midland,Industry,19.6
2022 Q4,Midland,Information & Communication,11.6
2022 Q4,Midland,Professional & Scientific,8.4
2022 Q4,Midland,Public Admin & Defence,11.9
2022 Q4,Midland,Transport & Storage,7.9
2022 Q4,Midland,Wholesale & Retail,22.0
2022 Q4,South-East,Accommodation & Food,14.1
2022 Q4,South-East,Admin & Support,7.4
2022 Q4,South-East,Agriculture,17.0
2022 Q4,South-East,Construction,15.8
2022 Q4,South-East,Education,21.9
2022 Q4,South-East,Financial & Insurance,8.4
2022 Q4,South-East,Human Health & Social Work,28.8
2022 Q4,South-East,Industry,29.2
2022 Q4,South-East,Information & Communication,8.3
2022 Q4,South-East,Professional & Scientific,11.0
2022 Q4,South-East,Public Admin & Defence,13.7
2022 Q4,South-East,Transport & Storage,10.8
